Set ID,Section,Condition,Times Sold,Total Qty,Total Lots,Min Price (EUR),Avg Price (EUR),Qty Avg Price (EUR),Max Price (EUR),ScrapeTimestampUTC
75313-1,Last 6 Months Sales,New,128.0,135,,386.7,727.59,722.38,1054.23,2025-10-11T12:56:37.596358
75313-1,Last 6 Months Sales,Used,23.0,23,,455.09,644.82,644.82,807.5,2025-10-11T12:56:37.596358
75313-1,Current Items for Sale,New,,189,126.0,700.0,1121.81,1108.25,3399.99,2025-10-11T12:56:37.596358
75313-1,Current Items for Sale,Used,,16,16.0,599.0,768.5,768.5,1080.56,2025-10-11T12:56:37.596358
10307-1,Last 6 Months Sales,New,6.0,8,,268.89,405.39,371.26,595.0,2025-10-11T12:58:14.300852
10307-1,Last 6 Months Sales,Used,8.0,8,,317.16,365.23,365.23,459.0,2025-10-11T12:58:14.300852
10307-1,Current Items for Sale,New,,213,51.0,387.35,648.32,502.64,1250.0,2025-10-11T12:58:14.300852
10307-1,Current Items for Sale,Used,,21,14.0,295.64,507.54,439.25,800.0,2025-10-11T12:58:14.300852
10276-1,Last 6 Months Sales,New,21.0,21,,365.63,748.95,748.95,1057.92,2025-10-11T12:59:34.670565
10276-1,Last 6 Months Sales,Used,16.0,16,,329.43,503.17,503.17,809.48,2025-10-11T12:59:34.670565
10276-1,Current Items for Sale,New,,40,33.0,602.64,1054.35,1054.76,1950.0,2025-10-11T12:59:34.670565
10276-1,Current Items for Sale,Used,,13,12.0,330.65,581.32,562.04,729.85,2025-10-11T12:59:34.670565
10316-1,Last 6 Months Sales,New,67.0,78,,149.37,326.63,328.71,465.17,2025-10-11T13:01:23.935938
10316-1,Last 6 Months Sales,Used,12.0,12,,240.0,306.86,306.86,350.76,2025-10-11T13:01:23.935938
10316-1,Current Items for Sale,New,,458,151.0,176.15,506.46,477.23,1219.74,2025-10-11T13:01:23.935938
10316-1,Current Items for Sale,Used,,7,7.0,369.96,417.13,417.13,499.0,2025-10-11T13:01:23.935938
10300-1,Last 6 Months Sales,New,17.0,19,,106.24,123.0,121.32,179.99,2025-10-11T13:03:07.789820
10300-1,Last 6 Months Sales,Used,11.0,11,,76.44,93.05,93.05,130.0,2025-10-11T13:03:07.789820
10300-1,Current Items for Sale,New,,531,217.0,108.06,206.34,197.76,750.0,2025-10-11T13:03:07.789820
10300-1,Current Items for Sale,Used,,29,29.0,34.58,125.39,125.39,180.0,2025-10-11T13:03:07.789820
21318-1,Last 6 Months Sales,New,66.0,68,,127.09,162.41,162.9,229.51,2025-10-11T13:04:42.197083
21318-1,Last 6 Months Sales,Used,25.0,25,,66.4,123.33,123.33,153.1,2025-10-11T13:04:42.197083
21318-1,Current Items for Sale,New,,1362,470.0,111.08,240.93,237.06,799.99,2025-10-11T13:04:42.197083
21318-1,Current Items for Sale,Used,,45,37.0,103.73,171.83,160.69,399.0,2025-10-11T13:04:42.197083
60380-1,Last 6 Months Sales,New,22.0,26,,165.98,213.91,211.77,255.52,2025-10-11T13:24:18.672072
60380-1,Last 6 Months Sales,Used,0.0,0,,,,,,2025-10-11T13:24:18.672072
60380-1,Current Items for Sale,New,,25,13.0,180.74,250.29,260.06,337.25,2025-10-11T13:24:18.672072
60380-1,Current Items for Sale,Used,,1,1.0,190.0,190.0,190.0,190.0,2025-10-11T13:24:18.672072
41757-1,Last 6 Months Sales,New,19.0,22,,42.8,61.34,62.14,93.94,2025-10-11T13:26:14.272940
41757-1,Last 6 Months Sales,Used,5.0,5,,44.45,49.08,49.08,53.76,2025-10-11T13:26:14.272940
41757-1,Current Items for Sale,New,,170,78.0,53.66,92.89,93.0,172.24,2025-10-11T13:26:14.272940
41757-1,Current Items for Sale,Used,,0,0.0,,,,,2025-10-11T13:26:14.272940
43225-1,Last 6 Months Sales,New,19.0,37,,52.6,123.36,147.87,179.99,2025-10-11T13:28:02.536937
43225-1,Last 6 Months Sales,Used,0.0,0,,,,,,2025-10-11T13:28:02.536937
43225-1,Current Items for Sale,New,,123,82.0,99.98,163.79,161.08,270.0,2025-10-11T13:28:02.536937
43225-1,Current Items for Sale,Used,,12,12.0,43.18,81.64,81.64,129.67,2025-10-11T13:28:02.536937
76989-1,Last 6 Months Sales,New,93.0,110,,15.03,95.7,96.83,145.75,2025-10-11T13:29:44.026480
76989-1,Last 6 Months Sales,Used,19.0,19,,21.5,67.79,67.79,98.0,2025-10-11T13:29:44.026480
76989-1,Current Items for Sale,New,,342,172.0,80.35,123.63,122.78,221.88,2025-10-11T13:29:44.026480
76989-1,Current Items for Sale,Used,,9,9.0,68.51,82.14,82.14,106.77,2025-10-11T13:29:44.026480
10246-1,Last 6 Months Sales,New,57.0,59,,93.26,291.5,290.96,415.52,2025-10-11T13:31:23.091890
10246-1,Last 6 Months Sales,Used,38.0,38,,136.71,244.08,244.08,351.74,2025-10-11T13:31:23.091890
10246-1,Current Items for Sale,New,,149,129.0,281.43,452.01,447.71,1210.22,2025-10-11T13:31:23.091890
10246-1,Current Items for Sale,Used,,73,68.0,205.5,318.65,316.41,500.0,2025-10-11T13:31:23.091890
10255-1,Last 6 Months Sales,New,132.0,170,,149.0,237.92,227.45,427.09,2025-10-11T13:32:37.530917
10255-1,Last 6 Months Sales,Used,44.0,44,,130.5,194.91,194.91,301.78,2025-10-11T13:32:37.530917
