id,theme,slug,logo_url,banner_url,logo_file,banner_file
1,LEGO® Animal Crossing™,animal-crossing,https://www.lego.com/cdn/cs/set/assets/bltb6f87d981d0a5db4/animalCrossing-logo-600w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt450176adaa7fc6f3/AnimalCrossing-202401-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_1.png,themes_assets\banner_1.png
2,Architecture,architecture,https://www.lego.com/cdn/cs/set/assets/bltb7608fce3c4e9282/architecture_logo_pos_100h.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt41f3c6435caa2d8e/Theme-Architecture-21063-202508.png?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_2.png,themes_assets\banner_2.png
3,LEGO® Art,art,https://www.lego.com/cdn/cs/set/assets/blt810e81d0e9ab4ef1/art_logo_pos_2025.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt05af14f29cb583d0/Art-202405-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,,themes_assets\banner_3.png
4,LEGO® Bluey,bluey,https://www.lego.com/cdn/cs/set/assets/bltc75d478d805ccc21/bluey_logo_pos_2025.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt1652669e1c57ef06/Bluey-NewTheme-202503-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_4.png,themes_assets\banner_4.png
5,LEGO® Collection Botanique,botanicals,https://www.lego.com/cdn/cs/set/assets/blt1050fb865a374507/Theme-Botanicals-10374-202510.png?fit=bounds&format=png&width=420&height=200&dpr=1.5,https://www.lego.com/cdn/cs/set/assets/blt1050fb865a374507/Theme-Botanicals-10374-202510.png?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_5.png,themes_assets\banner_5.png
6,Catalogues LEGO,brand-catalogue,,,,
7,LEGO® BrickHeadz,brickheadz,https://www.lego.com/cdn/cs/set/assets/blt117f545a76e30723/brickheadz_logo_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/bltbc28f2147f7a8e05/Brickheadz-202412-Theme-Preview.jpg?fit=bounds&format=webply&quality=80&width=420&height=200&dpr=1.5,themes_assets\logo_7.png,themes_assets\banner_7.png
8,LEGO® City,city,https://www.lego.com/cdn/cs/set/assets/blt6e91a425cec33c6b/city_logo_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt6e91a425cec33c6b/city_logo_pos_300w.png?format=png&height=35&dpr=1,themes_assets\logo_8.png,themes_assets\banner_8.png
9,LEGO® Classic,classic,https://www.lego.com/cdn/cs/set/assets/bltb7b91c81db832654/02-InPageNavigation-CLASSIC_LOGO.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/bltb7b91c81db832654/02-InPageNavigation-CLASSIC_LOGO.png?format=png&height=35&dpr=1,themes_assets\logo_9.png,themes_assets\banner_9.png
10,LEGO® Creator 3in1,creator-3-in-1,https://www.lego.com/cdn/cs/set/assets/blt19ded43a8a1cedda/creator3in1_logo_pos_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/blt19ded43a8a1cedda/creator3in1_logo_pos_300w.png?format=png&height=35&dpr=1,themes_assets\logo_10.png,themes_assets\banner_10.png
11,LEGO® DC,dc,https://www.lego.com/cdn/cs/set/assets/bltbb8c4c51dc7d5c5b/DC_logo_yellow_300w.png?format=png&height=35&dpr=1,https://www.lego.com/cdn/cs/set/assets/bltbb8c4c51dc7d5c5b/DC_logo_yellow_300w.png?format=png&height=35&dpr=1,themes_assets\logo_11.png,themes_assets\banner_11.png
